Store,Dept,Date,Weekly_Sales,IsHoliday
1,1,2010-02-05,32055.67,False
1,1,2010-02-12,43299.71,True
1,1,2010-02-19,35970.89,False
1,1,2010-02-26,38029.86,False
1,1,2010-03-05,36753.91,False
1,1,2010-03-12,36925.69,False
1,1,2010-03-19,36783.2,False
1,1,2010-03-26,35695.6,False
1,1,2010-04-02,31461.74,False
1,1,2010-04-09,42798.9,False
1,1,2010-04-16,42372.75,False
1,1,2010-04-23,34925.88,False
1,1,2010-04-30,38412.8,False
1,1,2010-05-07,36255.82,False
1,1,2010-05-14,36376.27,False
1,1,2010-05-21,31947.36,False
1,1,2010-05-28,36604.05,False
1,1,2010-06-04,36867.92,False
1,1,2010-06-11,42389.97,False
1,1,2010-06-18,36295.13,False
1,1,2010-06-25,35529.46,False
1,1,2010-07-02,29334.4,False
1,1,2010-07-09,29126.8,False
1,1,2010-07-16,32915.06,False
1,1,2010-07-23,31308.39,False
1,1,2010-07-30,29040.38,False
1,1,2010-08-06,23881.25,False
1,1,2010-08-13,25670.09,False
1,1,2010-08-20,24896.35,False
1,1,2010-08-27,25995.12,False
1,1,2010-09-03,22231.24,False
1,1,2010-09-10,28022.82,True
1,1,2010-09-17,20354.86,False
1,1,2010-09-24,24625.37,False
1,1,2010-10-01,26177.52,False
1,1,2010-10-08,23462.37,False
1,1,2010-10-15,21791.83,False
1,1,2010-10-22,22928.01,False
1,1,2010-10-29,19688.28,False
1,1,2010-11-05,30466.65,False
1,1,2010-11-12,37044.62,False
1,1,2010-11-19,33383.5,False
1,1,2010-11-26,37352.41,True
1,1,2010-12-03,35550.77,False
1,1,2010-12-10,34785.99,False
1,1,2010-12-17,38656.33,False
1,1,2010-12-24,40026.1,False
1,1,2010-12-31,49153.43,True
1,1,2011-01-07,32785.07,False
1,1,2011-01-14,32444.02,False
1,1,2011-01-21,30088.95,False
1,1,2011-01-28,29069.95,False
1,1,2011-02-04,30940.23,False
1,1,2011-02-11,45936.91,True
1,1,2011-02-18,34685.15,False
1,1,2011-02-25,34030.27,False
1,1,2011-03-04,42182.89,False
1,1,2011-03-11,35775.39,False
1,1,2011-03-18,41119.29,False
1,1,2011-03-25,39459.59,False
1,1,2011-04-01,36472.47,False
1,1,2011-04-08,39533.63,False
1,1,2011-04-15,42870.79,False
1,1,2011-04-22,42306.41,False
1,1,2011-04-29,44533.29,False
1,1,2011-05-06,39587.93,False
1,1,2011-05-13,48943.95,False
1,1,2011-05-20,35706.98,False
1,1,2011-05-27,37315.86,False
1,1,2011-06-03,35014.11,False
1,1,2011-06-10,31191.88,False
1,1,2011-06-17,38119.87,False
1,1,2011-06-24,37728.73,False
1,1,2011-07-01,30642.53,False
1,1,2011-07-08,29287.95,False
1,1,2011-07-15,26936.61,False
1,1,2011-07-22,28664.17,False
1,1,2011-07-29,32416.4,False
1,1,2011-08-05,25565.22,False
1,1,2011-08-12,25118.51,False
1,1,2011-08-19,27049.9,False
1,1,2011-08-26,28416.27,False
1,1,2011-09-02,23112.78,False
1,1,2011-09-09,27860.12,True
1,1,2011-09-16,25132.43,False
1,1,2011-09-23,22965.01,False
1,1,2011-09-30,22086.59,False
1,1,2011-10-07,22570.54,False
1,1,2011-10-14,20977.51,False
1,1,2011-10-21,20786.99,False
1,1,2011-10-28,23599.61,False
1,1,2011-11-04,34070.57,False
1,1,2011-11-11,27475.22,False
1,1,2011-11-18,35849.64,False
1,1,2011-11-25,40537.85,True
1,1,2011-12-02,37360.39,False
1,1,2011-12-09,39630.84,False
1,1,2011-12-16,37736.95,False
1,1,2011-12-23,38902.66,False
1,1,2011-12-30,38469.06,True
1,1,2012-01-06,28287.72,False
1,1,2012-01-13,34032.47,False
1,1,2012-01-20,30550.62,False
1,1,2012-01-27,26499.82,False
1,1,2012-02-03,32166.43,False
1,1,2012-02-10,38869.76,True
1,1,2012-02-17,35473.52,False
1,1,2012-02-24,33967.71,False
1,1,2012-03-02,36512.45,False
1,1,2012-03-09,38557.25,False
1,1,2012-03-16,40018.32,False
1,1,2012-03-23,37746.37,False
1,1,2012-03-30,36772.93,False
1,1,2012-04-06,38433.63,False
1,1,2012-04-13,40856.14,False
1,1,2012-04-20,39751.35,False
1,1,2012-04-27,42216.36,False
1,1,2012-05-04,34999.6,False
1,1,2012-05-11,36154.28,False
1,1,2012-05-18,40929.17,False
1,1,2012-05-25,36072.59,False
1,1,2012-06-01,39081.21,False
1,1,2012-06-08,39140.85,False
1,1,2012-06-15,39104.6,False
1,1,2012-06-22,32706.57,False
1,1,2012-06-29,35401.88,False
1,1,2012-07-06,29388.26,False
1,1,2012-07-13,32855.64,False
1,1,2012-07-20,34773.25,False
1,1,2012-07-27,32734.3,False
1,1,2012-08-03,26025.65,False
1,1,2012-08-10,25246.11,False
1,1,2012-08-17,27357.07,False
1,1,2012-08-24,23462.4,False
1,1,2012-08-31,27122.49,False
1,1,2012-09-07,25187.7,True
1,1,2012-09-14,23771.23,False
1,1,2012-09-21,22355.37,False
1,1,2012-09-28,21943.51,False
1,1,2012-10-05,19900.0,False
1,1,2012-10-12,20805.98,False
1,1,2012-10-19,22370.07,False
1,1,2012-10-26,23205.75,False
1,1,2012-11-02,36354.58,False
1,1,2012-11-09,38691.73,False
1,2,2010-02-05,30766.76,False
1,2,2010-02-12,31324.63,True
1,2,2010-02-19,27171.63,False
1,2,2010-02-26,23041.67,False
1,2,2010-03-05,25054.66,False
1,2,2010-03-12,29183.69,False
1,2,2010-03-19,28679.53,False
1,2,2010-03-26,28575.34,False
1,2,2010-04-02,29708.9,False
1,2,2010-04-09,27335.07,False
1,2,2010-04-16,29444.82,False
1,2,2010-04-23,29585.47,False
1,2,2010-04-30,27255.68,False
1,2,2010-05-07,32195.38,False
1,2,2010-05-14,29075.87,False
1,2,2010-05-21,25344.11,False
1,2,2010-05-28,29485.37,False
1,2,2010-06-04,23578.22,False
1,2,2010-06-11,27182.4,False
1,2,2010-06-18,27942.43,False
1,2,2010-06-25,23893.27,False
1,2,2010-07-02,23950.48,False
1,2,2010-07-09,22971.0,False
1,2,2010-07-16,23699.09,False
1,2,2010-07-23,25610.97,False
1,2,2010-07-30,21800.16,False
1,2,2010-08-06,17761.47,False
1,2,2010-08-13,17556.16,False
1,2,2010-08-20,17667.61,False
1,2,2010-08-27,18784.61,False
1,2,2010-09-03,16908.65,False
1,2,2010-09-10,20188.52,True
1,2,2010-09-17,17548.63,False
1,2,2010-09-24,16476.55,False
1,2,2010-10-01,17375.71,False
1,2,2010-10-08,15236.12,False
1,2,2010-10-15,18952.99,False
1,2,2010-10-22,16344.8,False
1,2,2010-10-29,14498.31,False
1,2,2010-11-05,23181.99,False
1,2,2010-11-12,26332.72,False
1,2,2010-11-19,24900.85,False
1,2,2010-11-26,32162.8,True
1,2,2010-12-03,28848.19,False
1,2,2010-12-10,27633.92,False
1,2,2010-12-17,25912.88,False
1,2,2010-12-24,24427.35,False
1,2,2010-12-31,32163.56,True
1,2,2011-01-07,23760.17,False
1,2,2011-01-14,22617.55,False
1,2,2011-01-21,20020.61,False
1,2,2011-01-28,22544.77,False
1,2,2011-02-04,26360.47,False
1,2,2011-02-11,28516.83,True
1,2,2011-02-18,25886.69,False
1,2,2011-02-25,25691.28,False
1,2,2011-03-04,25452.43,False
1,2,2011-03-11,28815.8,False
1,2,2011-03-18,29270.74,False
1,2,2011-03-25,30441.2,False
1,2,2011-04-01,31344.74,False
1,2,2011-04-08,25721.68,False
1,2,2011-04-15,26738.87,False
1,2,2011-04-22,30098.78,False
1,2,2011-04-29,30095.89,False
1,2,2011-05-06,29168.24,False
1,2,2011-05-13,36648.38,False
1,2,2011-05-20,29293.39,False
1,2,2011-05-27,30558.89,False
1,2,2011-06-03,27523.87,False
1,2,2011-06-10,26904.8,False
1,2,2011-06-17,24927.23,False
1,2,2011-06-24,27124.88,False
1,2,2011-07-01,20861.89,False
1,2,2011-07-08,21815.41,False
1,2,2011-07-15,21373.26,False
1,2,2011-07-22,22382.34,False
1,2,2011-07-29,26354.32,False
1,2,2011-08-05,16077.71,False
1,2,2011-08-12,19938.88,False
1,2,2011-08-19,16462.61,False
1,2,2011-08-26,18187.58,False
1,2,2011-09-02,17893.31,False
1,2,2011-09-09,19852.89,True
1,2,2011-09-16,15040.31,False
1,2,2011-09-23,15517.55,False
1,2,2011-09-30,17354.3,False
1,2,2011-10-07,14656.19,False
1,2,2011-10-14,15835.23,False
1,2,2011-10-21,15622.43,False
1,2,2011-10-28,14754.28,False
1,2,2011-11-04,29702.73,False
1,2,2011-11-11,26639.91,False
1,2,2011-11-18,21246.45,False
1,2,2011-11-25,30878.76,True
